booking_id,passenger_id,flight_id,booking_date,ticket_price,seat_class
178,763,22,2024-05-13,51226,Business
179,574,36,2024-05-11,6599,Business
180,422,8,2024-06-28,12451,Economy
181,590,42,2024-11-28,7663,Economy
182,364,21,2024-12-10,62580,Business
183,911,6,2024-07-14,64784,Business
184,647,10,2024-03-26,59288,Business
185,647,40,2024-10-19,13351,Business
186,82,11,2024-06-24,8136,Economy
187,325,42,2024-05-29,55833,Business
188,278,29,2024-07-04,58262,Business
189,172,12,2024-01-12,14923,Economy
190,241,43,2024-05-08,6450,Economy
191,171,26,2024-02-22,4045,Economy
192,960,31,2024-10-07,3431,Economy
193,790,26,2024-09-25,4702,Economy
194,269,40,2024-03-20,13728,Economy
195,954,25,2024-06-07,7053,Economy
196,756,19,2024-08-14,5150,Economy
197,540,11,2024-01-15,13871,Economy
198,366,21,2024-08-31,39705,Business
199,562,29,2024-03-10,12680,Economy
200,612,30,2024-11-19,44587,Business
201,931,23,2024-09-03,4467,Economy
202,453,20,2024-07-06,38053,Business
203,160,20,2024-01-06,11574,Economy
204,835,49,2024-03-10,41586,Business
205,481,35,2024-01-05,66530,Business
206,307,1,2024-08-08,34305,Business
207,816,1,2024-10-07,28716,Business
208,422,36,2024-08-11,36754,Business
209,168,46,2024-11-26,53592,Business
210,226,17,2024-02-10,35399,Business
211,530,49,2024-11-09,41313,Business
212,665,48,2024-09-29,58120,Business
213,193,5,2024-04-03,7744,Economy
214,114,41,2024-08-21,39669,Business
215,718,40,2024-09-08,8253,Economy
216,20,10,2024-01-26,6046,Economy
217,996,7,2024-05-24,20389,Business
218,733,29,2024-01-05,4477,Economy
219,155,1,2024-09-09,8601,Economy
220,431,20,2024-09-12,64776,Business
221,714,3,2024-06-18,5393,Economy
222,58,18,2024-07-19,11899,Economy
223,482,12,2024-04-08,54014,Business
224,849,1,2024-03-03,9304,Economy
225,790,29,2024-05-06,6263,Economy
226,472,48,2024-02-18,10746,Economy
227,399,44,2024-06-08,24789,Business
228,645,47,2024-01-22,7150,Economy
229,493,41,2024-06-01,8905,Economy
230,909,4,2024-12-07,4850,Economy
231,242,41,2024-08-10,5974,Business
232,172,18,2024-10-26,9484,Economy
233,809,16,2024-01-05,12520,Economy
234,803,45,2024-08-31,9084,Economy
235,790,6,2024-05-07,11190,Economy
236,94,44,2024-11-12,11871,Business
237,62,23,2024-11-26,14490,Economy
238,550,7,2024-03-05,34497,Business
239,325,36,2024-11-26,61503,Business
240,751,13,2024-01-11,50945,Business
241,742,9,2024-05-08,10951,Economy
242,724,29,2024-10-13,68237,Business
243,195,37,2024-04-05,46425,Business
244,750,30,2024-05-20,4128,Economy
245,544,10,2024-08-18,38517,Business
246,555,24,2024-08-20,13453,Economy
247,519,25,2024-04-04,13153,Economy
248,878,24,2024-11-13,8254,Economy
249,739,5,2024-12-03,28886,Business
250,537,44,2024-09-11,13044,Economy
251,290,21,2024-07-28,18478,Business
252,99,34,2024-12-03,3717,Economy
253,856,9,2024-04-01,6310,Economy
254,110,32,2024-04-08,3521,Economy
255,585,42,2024-07-17,37546,Business
256,51,24,2024-04-23,3214,Economy
257,953,14,2024-12-01,14480,Business
258,480,41,2024-02-01,58519,Business
259,842,24,2024-12-28,13107,Economy
260,273,34,2024-01-21,7979,Economy
261,80,14,2024-09-22,4658,Economy
262,743,15,2024-09-29,28832,Business
263,198,34,2024-12-02,12339,Economy
264,641,12,2024-10-12,17829,Business
265,785,41,2024-10-22,64125,Business
266,720,43,2024-08-06,5733,Economy
267,812,12,2024-10-08,48238,Business
268,674,11,2024-09-30,50179,Business
269,925,21,2024-10-08,52722,Business
270,423,49,2024-11-20,46395,Business
271,624,16,2024-10-15,9145,Economy
272,785,36,2024-05-10,63297,Business
273,459,26,2024-01-01,7660,Economy
274,611,2,2024-09-22,7945,Economy
275,7,20,2024-04-23,8159,Economy
276,23,50,2024-12-19,24278,Business
277,97,3,2024-08-23,24461,Business
278,142,17,2024-07-06,6817,Economy
279,263,20,2024-02-17,32499,Business
280,752,5,2024-06-15,26662,Business
281,500,45,2024-12-25,12752,Economy
282,658,20,2024-01-20,14286,Business
283,799,4,2024-06-20,60925,Business
284,427,8,2024-04-26,13385,Economy
285,797,41,2024-07-14,7993,Economy
286,537,3,2024-06-12,8354,Economy
287,515,45,2024-04-23,3827,Economy
288,690,47,2024-07-20,15807,Business
289,228,28,2024-05-28,23400,Business
290,136,22,2024-02-12,10463,Business
291,562,26,2024-05-14,9529,Economy
292,514,28,2024-12-23,5209,Economy
293,493,36,2024-04-11,55815,Business
294,668,37,2024-04-10,6970,Economy
295,74,18,2024-08-08,15743,Business
296,116,43,2024-07-30,51876,Business
297,357,13,2024-06-13,7172,Business
298,789,20,2024-03-27,61961,Business
299,639,10,2024-08-13,6825,Economy
300,205,44,2024-07-10,14935,Economy
301,874,6,2024-02-27,6982,Economy
302,972,40,2024-03-16,5800,Business
303,352,45,2024-02-26,62990,Business
304,483,2,2024-06-18,11814,Economy
305,217,14,2024-10-06,67311,Business
306,638,47,2024-03-13,9170,Economy
307,597,43,2024-09-26,7185,Economy
308,175,4,2024-05-25,14411,Economy
309,633,18,2024-01-28,5092,Business
310,69,25,2024-12-04,51214,Business
311,886,7,2024-01-10,54662,Business
312,237,25,2024-09-17,8168,Economy
313,497,39,2024-09-29,6054,Economy
314,204,33,2024-08-22,3651,Economy
315,254,34,2024-06-05,68216,Business
316,403,48,2024-03-21,8681,Economy
317,701,23,2024-06-30,34959,Business
318,514,18,2024-02-01,54747,Business
319,912,2,2024-10-11,33567,Business
320,156,22,2024-07-20,4438,Economy
321,748,25,2024-09-23,9837,Economy
322,247,37,2024-03-19,44944,Business
323,932,39,2024-06-17,21271,Business
324,212,42,2024-03-11,5262,Economy
325,317,45,2024-12-27,10046,Economy
326,931,50,2024-03-15,8201,Economy
327,70,36,2024-09-29,6016,Economy
328,326,10,2024-01-16,58269,Business
329,985,27,2024-06-04,39887,Business
330,156,50,2024-04-06,5155,Economy
331,190,2,2024-11-09,34266,Business
332,611,15,2024-04-28,8886,Economy
333,82,45,2024-09-01,11230,Economy
334,867,39,2024-08-28,28114,Business
335,873,25,2024-09-08,22024,Business
336,168,13,2024-04-25,9694,Economy
337,783,1,2024-05-18,33170,Business
338,761,43,2024-04-13,4083,Economy
339,182,29,2024-11-11,46584,Business
340,888,30,2024-05-06,57066,Business
341,795,3,2024-11-07,45012,Business
342,404,40,2024-10-19,11530,Economy
343,112,29,2024-08-21,7025,Economy
344,532,35,2024-07-21,12137,Economy
345,397,34,2024-11-18,6110,Economy
346,299,29,2024-07-22,41475,Business
347,473,11,2024-08-04,11149,Business
348,707,34,2024-03-13,63204,Business
349,93,47,2024-09-13,5945,Economy
350,798,38,2024-12-22,9440,Economy
351,424,21,2024-08-18,5930,Economy
352,465,38,2024-12-30,10449,Economy
353,93,17,2024-06-14,14769,Economy
354,751,8,2024-02-16,14570,Economy
355,461,41,2024-07-04,11582,Economy
356,725,25,2024-09-18,9204,Economy
357,564,25,2024-01-23,8491,Economy
358,580,43,2024-03-17,5369,Economy
359,184,50,2024-12-30,9874,Economy
360,316,20,2024-08-16,27684,Business
361,121,9,2024-04-13,13200,Economy
362,784,17,2024-01-07,69225,Business
363,876,32,2024-10-05,12961,Economy
364,904,32,2024-05-01,12647,Economy
365,676,31,2024-08-20,61917,Business
366,82,39,2024-11-03,7009,Economy
367,904,36,2024-05-22,3801,Economy
368,190,10,2024-01-29,8813,Business
369,149,3,2024-12-07,47399,Business
370,943,6,2024-01-26,9831,Economy
371,183,11,2024-12-10,27254,Business
372,990,30,2024-10-23,8697,Business
373,96,50,2024-06-02,52309,Business
374,920,25,2024-02-04,12509,Business
375,300,31,2024-03-09,14380,Economy
376,881,18,2024-06-17,31504,Business
377,713,14,2024-11-09,4790,Economy
378,586,47,2024-11-18,10924,Economy
379,742,45,2024-11-05,59974,Business
380,624,21,2024-05-12,21001,Business
381,630,37,2024-09-11,68553,Business
382,828,12,2024-11-08,14609,Economy
383,298,13,2024-01-01,3392,Economy
384,477,41,2024-03-01,13081,Economy
385,425,27,2024-01-24,49829,Business
386,574,41,2024-04-18,13495,Economy
387,207,45,2024-05-24,12891,Business
388,316,20,2024-09-16,4803,Business
389,117,44,2024-06-19,55910,Business
390,742,37,2024-11-11,5877,Economy
391,199,22,2024-06-22,66193,Business
392,817,3,2024-11-26,10888,Economy
393,160,41,2024-08-23,64616,Business
394,803,27,2024-01-29,45353,Business
395,569,35,2024-01-10,12460,Economy
396,702,22,2024-06-30,5446,Economy
397,288,2,2024-06-22,25753,Business
398,585,39,2024-07-18,12751,Economy
399,120,49,2024-06-06,8145,Business
400,279,27,2024-02-14,35148,Business
401,381,29,2024-06-03,11603,Economy
402,310,12,2024-02-27,8901,Business
403,797,13,2024-02-17,7268,Business
404,819,31,2024-09-13,6116,Economy
405,349,31,2024-09-25,46904,Business
406,147,50,2024-02-20,6361,Economy
407,742,3,2024-08-23,19182,Business
408,5,20,2024-01-23,8460,Economy
409,479,3,2024-02-22,6946,Business
410,592,49,2024-06-08,8257,Economy
411,206,13,2024-05-26,45831,Business
412,792,29,2024-12-09,7467,Economy
413,153,11,2024-05-20,3249,Economy
414,982,40,2024-10-13,6384,Economy
415,556,23,2024-10-08,39527,Business
416,145,46,2024-05-25,5806,Economy
417,73,20,2024-11-09,62149,Business
418,52,9,2024-01-15,10613,Business
419,109,25,2024-01-28,9987,Economy
420,402,12,2024-12-26,50612,Business
421,320,22,2024-04-11,10629,Economy
422,582,9,2024-02-17,16748,Business
423,467,20,2024-12-16,65675,Business
424,238,15,2024-03-14,51638,Business
425,402,12,2024-12-24,46567,Business
426,465,32,2024-01-16,10787,Economy
427,116,23,2024-09-02,26387,Business
428,290,50,2024-06-27,11322,Economy
429,106,26,2024-02-24,13296,Business
430,812,20,2024-09-29,56535,Business
431,605,27,2024-05-02,11977,Economy
432,163,31,2024-07-15,8582,Economy
433,214,45,2024-10-29,61062,Business
434,581,22,2024-10-05,5835,Economy
435,679,43,2024-02-09,18984,Business
436,607,39,2024-08-25,16799,Business
437,842,29,2024-03-31,57188,Business
438,72,39,2024-02-25,46914,Business
439,507,42,2024-12-04,4483,Economy
440,223,9,2024-10-24,5403,Economy
441,677,10,2024-08-19,55115,Business
442,631,37,2024-08-16,6369,Economy
443,698,21,2024-06-02,60980,Business
444,736,23,2024-02-15,13018,Economy
445,523,26,2024-03-06,12180,Business
446,379,36,2024-01-28,14523,Economy
447,574,23,2024-02-26,8087,Business
448,241,28,2024-12-25,45697,Business
449,729,25,2024-07-26,61041,Business
450,559,14,2024-12-05,10780,Economy
451,143,13,2024-10-11,51223,Business
452,861,27,2024-03-19,20455,Business
453,138,1,2024-02-06,5359,Economy
454,739,32,2024-12-02,21796,Business
455,87,9,2024-11-24,63772,Business
456,916,45,2024-11-05,27566,Business
457,466,33,2024-08-05,54425,Business
458,364,15,2024-04-05,4973,Business
459,592,32,2024-05-01,57849,Business
460,949,35,2024-10-22,8385,Business
461,39,37,2024-09-04,18832,Business
462,595,31,2024-12-19,5327,Economy
463,748,47,2024-09-26,64940,Business
464,530,6,2024-09-24,7017,Economy
465,484,41,2024-12-05,14207,Economy
466,649,35,2024-10-23,10917,Business
467,926,22,2024-09-30,10681,Economy
468,465,33,2024-08-28,59183,Business
469,362,19,2024-05-28,3578,Economy
470,712,39,2024-06-04,12050,Business
471,645,31,2024-10-23,12385,Economy
472,53,43,2024-05-29,7699,Economy
473,497,6,2024-03-05,7552,Economy
474,259,9,2024-11-11,40073,Business
475,879,17,2024-01-08,12893,Economy
476,179,38,2024-03-18,52466,Business
477,828,12,2024-05-13,10944,Economy
478,186,34,2024-01-17,15062,Business
479,991,10,2024-10-31,11125,Economy
480,771,27,2024-07-15,13824,Economy
481,451,47,2024-11-22,6454,Economy
482,592,47,2024-06-25,13522,Economy
483,271,49,2024-02-29,5745,Economy
484,476,26,2024-08-31,66425,Business
485,765,49,2024-09-29,9222,Economy
486,700,46,2024-07-18,38422,Business
487,149,34,2024-08-10,7731,Economy
488,950,29,2024-07-14,9376,Business
489,100,35,2024-11-22,60595,Business
490,626,42,2024-05-19,39432,Business
491,274,7,2024-05-10,64438,Business
492,792,44,2024-05-03,11518,Economy
493,346,44,2024-12-19,8132,Economy
494,561,1,2024-12-10,4113,Economy
495,13,27,2024-02-20,14231,Economy
496,457,23,2024-04-22,37016,Business
497,198,3,2024-01-13,3931,Economy
498,962,39,2024-12-02,12820,Economy
499,654,8,2024-12-28,4415,Economy
500,877,39,2024-03-07,28217,Business
501,918,8,2024-12-22,7150,Economy
502,302,30,2024-12-04,13465,Economy
503,465,18,2024-08-06,37729,Business
504,166,50,2024-02-07,12177,Business
505,392,25,2024-06-19,7230,Economy
506,979,17,2024-04-01,13096,Business
507,504,13,2024-11-08,27388,Business
508,661,32,2024-02-25,11857,Economy
509,788,28,2024-04-21,10234,Economy
510,733,17,2024-02-22,4194,Economy
511,73,37,2024-05-08,6459,Business
512,919,32,2024-03-17,3619,Economy
513,681,25,2024-05-16,14469,Economy
514,338,26,2024-10-21,11444,Economy
515,725,50,2024-09-08,61154,Business
516,414,47,2024-02-05,3054,Economy
517,394,45,2024-09-03,12293,Economy
518,549,23,2024-06-19,56509,Business
519,57,41,2024-11-27,8985,Economy
520,548,22,2024-02-11,42005,Business
521,664,13,2024-03-31,9294,Economy
522,677,13,2024-06-02,17994,Business
523,646,45,2024-07-02,15123,Business
524,907,41,2024-08-12,5292,Economy
525,37,13,2024-01-13,11015,Economy
526,399,5,2024-10-03,69494,Business
527,547,29,2024-01-09,8558,Economy
528,58,22,2024-01-22,19491,Business
529,217,42,2024-12-07,23523,Business
530,759,38,2024-04-29,3604,Economy
531,754,10,2024-09-07,10720,Economy
532,929,40,2024-01-24,14490,Economy
533,665,9,2024-01-08,13365,Economy
534,52,20,2024-02-19,26372,Business
535,856,38,2024-02-02,4870,Economy
536,510,39,2024-11-11,4033,Economy
537,824,13,2024-08-06,56692,Business
538,333,8,2024-12-16,8268,Economy
539,857,14,2024-01-24,8496,Economy
540,65,8,2024-05-20,9801,Economy
541,173,45,2024-07-08,10187,Economy
542,250,38,2024-01-21,4637,Economy
543,811,41,2024-11-09,24677,Business
544,17,32,2024-02-11,3118,Economy
545,184,6,2024-12-27,58555,Business
546,711,50,2024-08-31,6377,Economy
547,147,41,2024-05-18,58005,Business
548,245,12,2024-11-08,12769,Economy
549,185,46,2024-09-12,13275,Economy
550,847,20,2024-06-27,4599,Business
551,572,16,2024-04-08,11686,Economy
552,98,40,2024-07-04,10605,Economy
553,789,41,2024-12-03,7528,Economy
554,55,13,2024-02-27,14227,Economy
555,865,31,2024-09-11,5617,Economy
556,687,3,2024-01-28,41363,Business
557,215,28,2024-05-08,63394,Business
558,45,7,2024-01-27,5589,Economy
559,805,2,2024-09-05,4160,Economy
560,917,16,2024-08-15,58927,Business
561,204,48,2024-12-12,34154,Business
562,798,8,2024-06-15,4606,Economy
563,243,48,2024-07-30,9152,Economy
564,913,15,2024-02-07,67492,Business
565,56,28,2024-03-15,12984,Economy
566,466,12,2024-07-17,21878,Business
567,469,47,2024-04-09,39349,Business
568,208,22,2024-03-06,14341,Economy
569,583,4,2024-05-23,4820,Economy
570,873,30,2024-08-22,26439,Business
571,779,22,2024-04-22,24550,Business
572,809,41,2024-11-09,12471,Economy
573,994,36,2024-04-27,9745,Economy
574,878,34,2024-09-07,12692,Economy
575,485,30,2024-05-22,14960,Economy
576,439,48,2024-05-06,8362,Economy
577,445,38,2024-04-23,12399,Economy
578,920,1,2024-08-01,3656,Economy
579,482,47,2024-09-15,9974,Economy
580,544,26,2024-09-02,10412,Economy
581,508,16,2024-02-12,14356,Economy
582,750,27,2024-04-21,8872,Economy
583,303,16,2024-11-27,3260,Economy
584,492,43,2024-06-05,14522,Economy
585,471,37,2024-10-25,10452,Economy
586,475,50,2024-03-11,28241,Business
587,809,24,2024-11-16,4178,Business
588,882,41,2024-02-06,47634,Business
589,544,3,2024-05-31,39361,Business
590,715,40,2024-10-04,14217,Economy
591,83,40,2024-06-20,11433,Economy
592,969,44,2024-07-05,4818,Economy
593,393,24,2024-08-26,8989,Economy
594,376,12,2024-11-27,12187,Economy
595,727,50,2024-04-14,8487,Economy
596,245,35,2024-02-28,31498,Business
597,772,48,2024-04-25,50230,Business
598,920,18,2024-09-14,40325,Business
599,56,5,2024-07-09,63298,Business
600,498,33,2024-09-26,10703,Economy
601,727,35,2024-12-13,63241,Business
602,636,24,2024-12-10,6085,Economy
603,914,30,2024-02-14,9400,Economy
604,920,12,2024-05-27,4791,Economy
605,169,18,2024-02-27,11131,Economy
606,155,14,2024-09-23,7803,Economy
607,427,44,2024-10-04,10764,Economy
608,356,27,2024-08-15,7776,Economy
609,194,5,2024-01-12,11513,Economy
610,661,22,2024-07-29,46769,Business
611,498,38,2024-12-06,64031,Business
612,312,37,2024-03-08,26509,Business
613,809,17,2024-04-26,52745,Business
614,995,19,2024-01-25,8785,Economy
615,292,30,2024-03-26,14662,Economy
616,549,19,2024-04-03,14601,Economy
617,710,43,2024-03-19,6897,Economy
618,120,3,2024-06-11,10223,Economy
619,267,24,2024-04-04,12215,Economy
620,725,3,2024-12-06,49068,Business
621,152,24,2024-08-17,11743,Economy
622,309,8,2024-01-13,69459,Business
623,787,10,2024-08-22,24454,Business
624,5,48,2024-10-06,42739,Business
625,486,19,2024-10-20,12260,Economy
626,747,29,2024-06-22,14987,Economy
627,491,3,2024-03-12,8047,Economy
628,26,26,2024-11-12,10306,Economy
629,366,6,2024-06-16,12963,Economy
630,657,13,2024-10-25,7553,Economy
631,201,2,2024-02-12,15452,Business
632,1000,33,2024-07-20,11035,Economy
633,326,39,2024-11-05,13924,Economy
634,370,26,2024-03-16,52448,Business
635,396,24,2024-01-07,49209,Business
636,360,20,2024-08-16,6533,Economy
637,746,29,2024-07-31,41831,Business
638,168,47,2024-08-05,22293,Business
639,856,38,2024-11-02,5353,Economy
640,213,20,2024-08-31,12665,Business
641,956,38,2024-07-11,3108,Economy
642,420,41,2024-05-19,26923,Business
643,570,30,2024-12-29,6264,Economy
644,191,25,2024-05-28,9535,Business
645,843,20,2024-10-26,68762,Business
646,573,48,2024-08-25,3439,Economy
647,811,1,2024-03-19,43343,Business
648,979,41,2024-11-21,20276,Business
649,670,43,2024-05-27,27510,Business
650,504,45,2024-11-26,3466,Economy
651,123,49,2024-05-21,12745,Business
652,614,48,2024-07-04,61156,Business
653,890,17,2024-11-17,19674,Business
654,383,33,2024-10-21,7252,Economy
655,167,38,2024-01-30,8237,Economy
656,473,45,2024-03-10,25405,Business
657,55,18,2024-07-03,50659,Business
658,50,19,2024-05-29,11419,Economy
659,199,50,2024-11-17,4548,Economy
660,614,49,2024-03-26,45446,Business
661,847,44,2024-06-03,51516,Business
662,99,35,2024-10-23,22837,Business
663,14,9,2024-09-22,52891,Business
664,798,32,2024-07-29,25368,Business
665,105,14,2024-03-20,6087,Economy
666,815,36,2024-11-10,9837,Economy
667,472,5,2024-02-29,3284,Economy
668,492,23,2024-06-08,22220,Business
669,837,29,2024-11-01,26571,Business
670,727,20,2024-01-15,6643,Economy
671,132,45,2024-03-13,8036,Economy
672,129,14,2024-03-07,9960,Economy
673,708,49,2024-02-27,3308,Economy
674,794,31,2024-08-08,6217,Economy
675,111,3,2024-12-03,10685,Economy
676,122,17,2024-01-23,7942,Economy
677,684,1,2024-02-19,12859,Economy
678,211,38,2024-04-12,13987,Economy
679,360,2,2024-02-16,7544,Economy
680,972,38,2024-06-27,25044,Business
681,876,33,2024-11-09,11272,Economy
682,584,5,2024-02-20,11664,Economy
683,223,46,2024-04-08,26514,Business
684,924,49,2024-10-02,14884,Economy
685,102,14,2024-09-15,52033,Business
686,715,38,2024-04-04,18067,Business
687,186,23,2024-07-13,32085,Business
688,527,15,2024-07-27,8149,Economy
689,127,30,2024-02-26,11123,Economy
690,781,24,2024-12-26,9322,Business
691,85,21,2024-09-09,9304,Economy
692,291,30,2024-11-03,62190,Business
693,232,36,2024-07-27,60093,Business
694,194,5,2024-08-31,27500,Business
695,14,44,2024-09-08,9494,Economy
696,449,34,2024-12-03,4953,Economy
697,147,26,2024-07-24,5764,Economy
698,67,24,2024-04-11,30248,Business
699,610,26,2024-03-03,9958,Economy
700,743,32,2024-05-22,56459,Business
701,365,31,2024-12-07,67508,Business
702,524,18,2024-03-16,18160,Business
703,126,17,2024-09-07,34254,Business
704,644,9,2024-01-16,3865,Economy
705,851,5,2024-09-12,5934,Economy
706,392,39,2024-12-13,24019,Business
707,311,40,2024-11-15,4253,Economy
708,677,49,2024-09-23,65082,Business
709,207,19,2024-12-04,68258,Business
710,517,17,2024-10-04,6316,Business
711,976,49,2024-01-17,19615,Business
712,393,29,2024-06-10,62006,Business
713,471,3,2024-01-17,12120,Economy
